company_id,Oncology,Neurology/Psychiatry,Cardiovascular/Metabolic,Immunology/Autoimmune,Infectious Diseases,Hematology,Gastrointestinal/Hepatology,Dermatology,Ophthalmology,Respiratory,Urology/Renal,Pain Management/Anesthetics
614130654,1,0,0,1,0,0,1,1,0,1,0,0
608699906,0,1,1,0,0,0,0,0,0,0,0,0
32555,0,0,0,0,0,0,0,0,0,0,0,0
428236982,0,0,0,0,0,0,0,0,0,0,0,0
33924,0,0,0,0,0,0,0,0,0,0,0,0
4866807,0,0,1,0,1,0,1,0,0,0,0,0
1029032,0,0,0,0,0,0,0,0,0,0,0,0
613227,0,0,0,0,0,0,0,0,0,0,0,0
38444119,0,1,0,1,0,0,0,0,0,0,0,0
37512626,1,0,0,0,0,0,0,0,0,0,0,0
33835,0,1,0,0,1,0,0,1,1,1,0,0
645865099,0,0,0,0,0,0,1,0,0,0,0,0
33840529,0,1,0,0,0,0,1,0,0,0,0,0
34221,0,0,0,0,0,0,0,0,0,0,0,0
134603894,0,0,0,0,1,0,0,0,0,0,0,0
690173412,1,0,0,0,0,1,0,0,0,0,0,0
658762,1,0,0,0,1,0,0,0,0,0,0,0
37144276,0,1,1,1,0,0,1,1,1,0,0,1
127531987,0,1,0,1,0,0,0,1,0,0,0,0
276414891,0,0,1,0,0,0,1,0,0,1,0,0
26000,1,0,1,1,1,0,0,0,0,1,0,0
663087242,1,0,0,1,0,0,0,0,0,0,0,0
339480,1,0,0,0,0,0,0,0,1,0,0,0
333195513,0,1,1,0,0,1,0,0,0,0,0,0
880932,0,0,1,1,1,0,0,1,0,0,0,0
1216695,1,0,0,0,0,1,0,0,0,0,0,0
669151476,1,1,1,1,1,1,0,0,0,0,0,0
10194985,1,0,0,0,0,1,0,0,0,0,0,0
4211633,1,0,0,1,0,0,0,0,0,0,0,0
878618,0,1,0,0,0,0,1,0,1,0,1,1
131325,0,0,0,0,0,0,0,0,1,0,0,0
404807,0,0,0,1,0,0,0,0,0,0,1,0
1882829,0,1,0,0,0,0,0,0,0,0,0,1
114041,0,0,1,1,1,0,1,0,0,0,0,0
702442629,1,0,0,0,0,0,0,0,0,0,0,0
661031,1,0,0,1,1,0,0,0,0,0,0,0
3366199,1,0,0,1,0,0,0,0,0,0,0,0
29929,1,0,0,1,0,0,0,0,0,0,0,0
676965261,1,0,0,0,0,0,0,0,0,0,0,0
418070523,0,1,1,1,0,0,0,0,0,0,0,0
288502,1,1,1,1,1,0,0,0,0,0,0,0
82767498,1,0,0,0,0,0,1,0,0,0,0,0
35106,0,0,0,0,0,0,0,0,0,0,0,0
8591867,0,0,1,0,0,0,0,0,0,0,0,0
4272801,0,0,0,0,1,0,0,0,0,0,0,0
429090,0,0,0,0,0,0,0,0,0,0,0,0
29794,1,0,0,0,0,0,0,0,0,0,0,0
8101165,0,0,1,0,0,0,1,1,0,1,0,1
